Unnamed: 0,text,link,content
12,Personal Loan,/personal-loan,Personal loan is an unsecured loan that can be used for a variety of end uses including medical treatment home renovation travel wedding and any other urgent financial requirement With a Bajaj Finservyou can borrow up to Rs25 lakh and get instant approval on it with minimal documentation Fulfil our easy-to-meet eligibility parameters and basic documentation process to avail the money you need within the same day of approvalWith our flexible tenors ranging up to 60 months repay your loan as per your convenience What’s more you can also reduce your EMIs by up to 45%* with our FlexiOur instant personal loan is available for salaried professionals in India at attractive interest rates and no hidden charges You can also avail the pre-approved offer for you from Bajaj Finserv and get quicker access to fundsHeres a look at some of the features and benefits of a Bajaj FinservYour EMI amount is DisclaimerPersonal loans are a suitable option for you to fulfil your diverse financial needs Use a personal loan to meet various funding needs such as Medical emergency Avail of personal loans online with minimal documentation to address medical expenses which require immediate funding Debt consolidation Consolidate multiple debts into one with an instant high-value personal loan Higher education Provide complete financial support to your child during higher education with high-value personal loans Meet all financing needs such as course fees travel expenses and hostel charges with personalised personal loans in India Home renovation Manage the necessary home renovation and repair expenses with an instant loan and repay over a flexible tenor of your choice Used cars Apply for a personal loan online to finance the purchase of a used car Avail of a loan at a competitive interest rate and repay in easy EMIs Wedding Meet the high-end expenses of a grand wedding or plan post-marriage trips with the help of a personal loan Travel Fulfil your travel goals with funds availed against simple eligibility criteria Cover all the expenses including flight tickets and hotel bookings during your trip to a national or international destination The application process for a personal loan is simple and convenient Proceed with the following steps to apply for a personal loan with Bajaj FinservA personal loan is an unsecured loan which means you don’t need to pledge a collateral to receive funds Availing of one is easy you can apply online and you can use the money to meet almost any expenseBajaj Finserv one of the most diversified NBFCs in India offers instant personal loans with paperless approval and quick disbursalIt can help you meet a wide range of financial requirements such asTo avail of a loan you will need to submit the following documentsTo avail a quick personal loan you only need to meet the basic eligibility criteria If you meet the salary requirement based on your city of residence you can qualify for the loanThe minimum salary required to avail of a Bajaj Finservdepends on your city of residence For instance if you reside in Mumbai Pune Bangalore or Delhi you must have a minimum monthly salary of Rs36000You can use the handy personal loan EMI calculator to determine your monthly instalmentsThe ideal CIBIL score to get instant paperless approval on Bajaj Finserv s is 750 and aboveYou can borrow money up to Rs25 lakh without pledging any collateralBajaj Finserv offers personal loans with a range of attractive benefits including Complete the application form online and get your personal loanA standard term loan is a fixed loan amount that you borrow as a lumpsum It is availed at a fixed rate of interest and must be repaid over a specific tenorA Flexi Loan on the other hand essentially provides you with a pre-approved loan amount based on your credit score and eligibility You can withdraw money from this approved amount as many times as you need without having to apply multiple times You also have the option to prepay the loan as per your convenienceFor greater flexibility and convenience choose a Flexi Loan by Bajaj Finserv and lower your EMIs by up to 45%**With Bajaj Finserv you can expect approval on your loan application in less than 5 minutesGetting approval on your loan application is easy Alternatively you can check if you qualify for a pre-approved loan Avail of aup to Rs25 lakh to fund your home renovation Avail of aup to Rs25 lakh to fund your higher education Avail of aup to Rs25 lakh for your dream weddingGet instant approval on ato address medical emergencies 
13,Flexi Loan,/flexi-loans,Flexi s are available for salaried individuals self-employed individuals professionals and businessmen Find out more about our Flexi personal loan what they have to offer and how you can benefit from them here For Salaried Individuals*For Salaried Individuals For Self-Employed Individuals Businessmen and SMEs/MSMs For Salaried Individuals Step 1 Click here to go to our online form Fill all the details and submit the form Step 2 To get an instant approval select your required loan amount and tenor Step 3 Our representative will get in touch with you to collect the required documents Step 4 The money will be credited to your loan account You can then withdraw the funds you need and transfer them to your bank account within 2 hours You can also SMS “SOL” to 9773633633 or give a missed call on 9211175555 For Self-Employed Individuals Businessmen and SMEs Step 1 Click here to go to our online form Fill all the details and submit the form Step 2 Your application will be processed within 24 hours Step 3 Our representative will get in touch with you to collect the required documents Step 4 The money will be credited to your loan account You can then withdraw the funds you need and transfer them to your bank account within 2 hours You can also SMS “BL” to 9773633633All you need to know about personal loan from Bajaj Finserv Avail of aup to Rs25 lakh to fund your home renovation Avail of aup to Rs25 lakh to fund your higher education Avail aup to Rs 25 lakh to fund your dream vacationAvail of aup to Rs25 lakh for your dream wedding 
14,Personal Loan for Wedding,/personal-loan-for-wedding,Don’t let money be a constraint when it comes to planning your dream wedding Choose the finest venue the most beautiful outfits the best caterers and more with afor Wedding from Bajaj FinservAvail a Flexi Interest-only Loan up to Rs25 lakh and pay up to 45% lower EMILearn more about our personal loan interest rates as well as other fees and charges Apply online for afor Wedding by following these four steps Fill in your personal financial and employment detailsSelect the loan amount and tenor that you require to get instant online approvalSubmit the required documents with our representative who will get in touch with youReceive the money in your bank account within 24 hoursThe accompanying benefits such as zero restrictions on end-use a high loan quantum and quick disbursal make personal loans a viable option to finance a wedding The sizeable loan value and no restriction on usage of funds allow you to account for miscellaneous expenses associated with a wedding ceremony Furthermore prompt disbursal of funds helps you account for immediate requirements without delay You can also pick a repayment schedule that matches your repayment capabilities and pay off the loan conveniently Moreover being an unsecured loan option you are free from the fear of your assets getting liquidated in case of a defaultYou can take a marriage loan online by simply following some easy steps Usually the sanctioned loan amount is disbursed to your account within 24 hours of verificationEssentially a marriage loan is a type of personal loan This is why you can either repay or foreclose a marriage loan just like any personal loan You must note that you may have to pay foreclosure or prepayment charges to the lender Additionally you may have to fulfil certain conditions and submit documents including loan account number and identity proof to prepay or foreclose your loan Therefore to streamline the process you should find out all the requirements and applicable charges in detail from the concerned financial institutionYou can avail of a loan amount of up to Rs25 lakh with top NBFCs in India However the sanctioned loan amount may depend on multiple factors including credit score applicant’s profession age and income In most cases applicants with a high credit score are more likely to get a higher loan amount sanctioned than those with late repayment history or one with default Also a stable job and regular income source work in favour of availing of a higher loan amountAvail of aup to Rs25 lakh to fund your home renovation Avail aup to Rs 25 lakh to fund your dream vacationAvail of aup to Rs25 lakh to fund your higher education Avail of aup to Rs25 lakh for your dream wedding 
15,Personal Loan for Travel,/personal-loan-for-travel,Plan an exotic vacation anywhere around the world with your loved ones Choose a Bajaj Finservfor Travel up to Rs25 lakh and manage your ticket bookings hotel accommodation and moreAvail a Flexi Interest-only Loan and pay up to 45% lower EMI with Bajaj Finserv  Learn about our eligibility criteria and share a few documents with your applicationOurfor vacation can be easily availed across the top Indian cities by salaried professionals For more information on the documents required and the eligibility criteria for personal loan You can also calculate your eligibility using personal loan eligibility calculator Bajaj Finservfor Travel comes with low fees and nominal charges Read more about Bajaj Finserv personal loan interest rates and chargesApply online for afor Travel by following these four easy steps Fill in your personal financial and employment detailsSelect the loan amount and tenor that you want Upload the required documents and get approval on your loan within minutesOnce your documents have been verified receive the money in your account in 24 hours Avail of aup to Rs25 lakh to fund your home renovation Avail aup to Rs 25 lakh to fund your dream vacationAvail of aup to Rs25 lakh to fund your higher education Avail of aup to Rs25 lakh for your dream weddingWant to reduce the EMI on your ongoing personal loan?
16,Personal Loan for Medical Emergency,/personal-loan-for-medical-emergency,You can apply for a personal loan for medical emergency by following these simple stepsAvail of aup to Rs25 lakh to fund your home renovation Get instant approval on ato address medical emergencies Avail of aup to Rs25 lakh to fund your higher education Avail aup to Rs 25 lakh to fund your dream vacation
17,Contact Us,/personal-loan-contact-details,If you are looking for information about Bajaj Finservor if you would like to contact us you can Click here if you are an existing customer \xa0 Existing customers can get SMS updates in the following manner Your mobile number should be registered with us to use this facility Standard SMS charges apply If you are an existing customer you can login to our customer portal Experia to Existing customers can visit our branch to Connect with us on social media and stay updated for our latest news and offersAvail of aup to Rs25 lakh to fund your home renovation Avail of aup to Rs25 lakh to fund your higher education Avail aup to Rs 25 lakh to fund your dream vacationManage your loans on the go with Experia Want to reduce the EMI on your ongoing personal loan?
18,Apply Now,/home-loan-form,Full name*Mobile number* Residential Pincode* Type of Occupation*Type of loan*Enter one-time password*Current home loan lender Monthly Salary* Loan Amount Required* Property identified*Property location*Down payment made*Date of birth* PAN card* YOUR COMPANY NAME* Personal Email ID* Official email id* CURRENT MONTHLY EMI* Years of practice*Degree*Annual receipts (18-19)*Nature of business*Business vintage*Monthly Salary* Work Experience*Loan Amount Required* Current home loan lender Property identified*Down payment done*Property location*Annual income (2018-19)* You have a Loan Balance Transfer of Features and benefits Features and benefits Hassle-free loans up to Rs 37 lakh No collateral or guarantor needed Flexi Loan facility Only 2 documents needed Doorstep document collection Eligibility and documents Eligibility and documents Super specialist Post-graduate Specialised Diploma Other PG DiplomaMBBS degree needs to be registered with the Medical Council MBBSImmediately after registration with the Medical Council MDSBDS degree needs to be registered BDS/BHMS/BAMS2 years of experience from medical registration KYC documents Medical registration certificate Fees and charges Fees and charges Interest rate 14-16% onwards Processing fees Up to 2% of the loan amount Penal interest 2% per month EMI bounce charges Up to Rs 1000 (Inclusive of taxes) Features and benefits Features and benefits Rate of interest starting 675%* onwards Top-up loans up to Rs 50 lac Quick approval Part-prepayment and foreclosure facility Nil foreclosure charges Part-prepayment facility Eligibility and documents Eligibility and documents Paid 12 EMIs of the existing home loan No outstanding dues on existing Home Loan Property must be ready to be occupied or already occupied KYC Documents Address proof Latest salary slips or Form 16 Bank account statement of the previous 6 months Fees and charges Fees and charges Interest rate 675%* onwards Processing fee Up to 1% Penal interest 2% per month  applicable taxes EMI bounce charges Rs 3000 Features and benefits Features and benefits Loans up to Rs 2 crore Easy balance transfer facility Quick approval Flexible tenor Minimal documentation Pre-approved offers Eligibility and documents Eligibility and documents Paid 12 EMIs of the existing home loan No outstanding dues on existing Home Loan Property must be ready to be occupied or already occupied KYC Documents Address proof Latest salary slips or Form 16 Bank account statement of the previous 6 months Income tax returns of the last year Balance Sheet and Profit & Loss account statement Registration certificate of the business Fees and charges Fees and charges Interest rate 675%* onwards Processing fee Up to 1% Penal interest 2% per month  applicable taxes EMI bounce charges Rs 3000 Features and benefits Features and benefits Rate of interest starting 935%* onwards Top-up loans up to Rs 50 lac Quick approval Part-prepayment and foreclosure facility Nil foreclosure charges Part-prepayment facility Eligibility and documents Eligibility and documents Paid 12 EMIs of the existing home loan No outstanding dues on existing Home Loan Property must be ready to be occupied or already occupied KYC Documents Address proof Latest salary slips or Form 16 Balance sheet and P&L statement Registration certificate of business Fees and charges Fees and charges Interest rate 935%* onwards Processing fee Up to 1% Penal interest 2% per month  applicable taxes EMI bounce charges Rs 3000 Features and benefits Features and benefits Loans up to Rs 35 crore Easy balance transfer facility Quick approval Part-prepayment and foreclosure facility Flexible tenor Minimal documentation Eligibility and documents Eligibility and documents Age limit for salaried 23 to 62 years Minimum CIBIL score 750 Minimum salary Rs25000* Work experience 3 years KYC Documents Address proof Photograph Form 16/ latest salary slips Bank account statements of the last 6 months Fees and charges Fees and charges Interest rate 675%* onwards Processing fee Up to 080% (for salaried individuals) Penal interest 2% per month  applicable taxes EMI bounce charges Rs 3000 Features and benefits Features and benefits Loans up to Rs 2 crore Easy balance transfer facility Quick approval Flexible tenor Minimal documentation Pre-approved offers Eligibility and documents Eligibility and documents Super-specialist doctors (MS/MD/DM) Minimum 3 years of experience Graduate Doctors (MBBS) Minimum 3 years of experience Dentists (BDS/MDS) Minimum 3 years of experience Ayurvedic and Homeopathic Doctors BHMS/BAMS Minimum 6 years of experience Homeopathic Doctors DHMS Minimum 15 years of experience KYC Documents Medical registration certification Income Tax returns balance sheet P/L statement Documents of house to be mortgaged Fees and charges Fees and charges Interest rate 675%* onwards Processing fee Up to 6% Penal interest 2% per month  applicable taxes EMI bounce charges Rs 3000 Features and benefits Features and benefits Loans up to Rs 5 crore Easy balance transfer facility Quick approval Part-prepayment and foreclosure facility Flexible tenor Minimal documentation Eligibility and documents Eligibility and documents Age limit for self-employed 25 to 70 years Minimum CIBIL score 750 Business continuity minimum 5 years KYC Documents Address proof Photograph Form 16/ latest salary slips Bank account statements of the last 6 months Proof of business continuity Fees and charges Fees and charges Interest rate 935%* onwards Processing fee Up to 120% Penal interest 2% per month  applicable taxes EMI bounce charges Rs 3000 Features and benefits Features and benefits High-value loans Hassle-free loan disbursal Flexible tenure Low interest rates Part-prepayment and foreclosure facility Eligibility and documents Eligibility and documents Should be aged between 33 to 58 years Should be a salaried employee Should be a resident of India KYC Documents Address proof Latest salary slips Bank account statement of the previous 6 months Documents of the property to be mortgaged Fees and charges Fees and charges Interest rate 1010%* onwards Processing fee Up to 15% Penal interest 2% per month  applicable taxes EMI bounce charges Rs 3000 Features and benefits Features and benefits Loans up to Rs 2 crore Easy balance transfer facility Quick approval Flexible tenure Minimal documentation Pre-approved offers Eligibility and documents Eligibility and documents Should be aged between 33 to 58 years Should be a salaried employee Should be a resident of India Should be aged between 25 to 70 years Should be self-employed Should be a resident of India KYC Documents Address proof Latest salary slips Bank account statement of the previous 6 months Documents of the property to be mortgaged Fees and charges Fees and charges Interest rate 1010%* onwards Processing fee Up to 15% Penal interest 2% per month  applicable taxes EMI bounce charges Rs 3000 Features and benefits Features and benefits Hassle-free and quick loan disbursal Flexible tenure Easy balance transfer facility Lower EMIs Low interest rates Eligibility and documents Eligibility and documents Should be aged between 25 to 70 years Should be self-employed Should be a resident of India residing in one of the following cities (Hyderabad Delhi Kolkata Mumbai Thane Pune Ahmedabad Chennai Bangalore Ahmedabad Vizag Udaipur Surat Indore Cochin Aurangabad) KYC Documents Address proof Latest salary slips Bank account statement of the previous 3 months Documents of the property to be mortgaged Fees and charges Fees and charges Interest rate 1050%* onwards Processing fee Up to 15% Penal interest 2% per month  applicable taxes EMI bounce charges Rs 3000 Features and benefits Features and benefits Loans up Rs 1 crore Disbursal in 4-days Hassle-free and quick loan disbursal Flexible tenure Easy balance transfer facility Lower EMIs Low interest rates Eligibility and documents Eligibility and documents Should be aged between 33 to 58 years Should be a salaried employee Should be a resident of India KYC Documents Address proof Latest salary slips Bank account statement of the previous 3 months Documents of the property to be mortgaged Fees and charges Fees and charges Interest rate 1010%* onwards Processing fee Up to 15% Penal interest 2% per month  applicable taxes EMI bounce charges Rs 3000 Features and benefits Features and benefits Loans up to Rs 2 crore Easy balance transfer facility Quick approval Flexible tenure Minimal documentation Pre-approved offers Eligibility and documents Eligibility and documents Super-specialist doctors (MS/MD/DM) Minimum 2 years of experience Graduate Doctors (MBBS) Minimum 3 years of experience Dentists (BDS/MDS) Minimum 5 years of experience Ayurvedic and Homeopathic Doctors BHMS/BAMS Minimum 5 years of experience must own a house or clinic* Homeopathic Doctors DHMS Minimum 15 years of experience must own a house or clinic* KYC documents Medical registration certification Income Tax returns balance sheet P/L statement Documents of house to be mortgaged Fees and charges Fees and charges Interest rate 1010%* onwards Processing fee 15% applicable taxes Penal interest 2% per month  applicable taxes EMI bounce charges Rs 3000 Features and benefits Features and benefits Loans up Rs 35 crore Disbursal in 4-days Hassle-free and quick loan disbursal Flexible tenure Easy balance transfer facility Lower EMIs Low interest rates Eligibility and documents Eligibility and documents Should be aged between 25 to 70 years Should be self-employed Should be a resident of India residing in one of the following cities (Hyderabad Delhi Kolkata Mumbai Thane Pune Ahmedabad Chennai Bangalore Ahmedabad Vizag Udaipur Surat Indore Cochin Aurangabad) KYC Documents Address proof Latest salary slips Bank account statement of the previous 3 months Documents of the property to be mortgaged Fees and charges Fees and charges Interest rate 1050%* onwards Processing fee Up to 15% Penal interest 2% per month  applicable taxes EMI bounce charges Rs 3000 \xa0 \xa0 Pincode We thank you for your patience Think it Done with Bajaj Finserv Sign in to BajajFinservin with Google We can get a few details pre-filled in the form for you Just log in with your preferred Google account to let us fetch the required information By continuing you agree to BajajFinserv\x92s privacy policy andterms and conditions Sign in to BajajFinservin with GoogleWe can get a few details pre-filled in the form for you Just log in with your preferred Google account to let us fetch the required information By continuing you agree to BajajFinserv\x92s privacy policy andterms and conditions
19,Home Loan,/home-loan, I authorize Bajaj Finserv representative to call /SMS towards this application and other products/services This consent overrides my registration for DNC/NDNCT&C Enter one-time passwordYou have a Loan Balance Transfer of Bajaj Finserv offers high-value Home Loan at an interest rate starting from 675%* A home loan with us comes with a number of added benefits such as a flexible repayment tenor of up to 30 years interest subsidy through PMAY and the option of a top-up loan when you transfer your existing home loan to usWhether you’re looking to purchase construct or renovate a home the Bajaj Finserv Home Loan is the one-stop solution for your housing loan needs Simple eligibility terms and minimal documentation requirements ensure the financing option is easy to apply for everyone  \xa0 \xa0 Note The PMAY subsidy scheme has been not extended by the regulatory authority for MIG I and II categories Please check the category-wise scheme validity below 1 EWS and LIG categories are valid up to 31 March 2022 2 MIG I and MIG II categories were valid up to 31 March 2021Eligibility criteria for the Bajaj Finserv Home Loan are simple; any Indian national with a good financial profile can obtain funding Some of the criteria differ depending on whether you are salaried or self-employed while other remain common For instance for two persons of the same age the one with a higher credit score is likely to be able to borrow a higher loan amount *The upper age limit is considered as the age at the time of maturity of the loan *Please note that the above list is indicative and additional documents may be required during processing of your application When you choose to borrow via the Bajaj Finserv Home Loan not only do you get access to all the above-mentioned features but you also benefit from industry-leading home loan interest rates Additionally provisions such as no part-prepayment or foreclosure fees interest subsidy for PMAY beneficiaries and a fully-customised property dossier make this house loan one of the best in the marketTo easily calculate your eligibility for this feature-rich housing loan use the Home Loan Eligibility Calculator and follow it up with the Home Loan EMI Calculator to know your EMIs Thereafter simply fill a short online form to applyA home loan as the name suggests is a financing solution that allows you to borrow funds to purchase a property at a predetermined rate of interest and repayment tenor You then repay the amount through EMIs and the lender which can be a bank or another financial institution retains ownership of the property till you pay the entire sum owed While home loans are typically intended for the purchase and/or construction of a property some solutions also cater to renovation and repair Bajaj Finserv offers high-value loans at competitive interest rates with the option of flexible repayment tenors extending up to 30 yearsYes a house loan is eligible for a tax deduction Home loan tax benefits include Section 80C’s deduction of Rs 15 lakh on the principal repayment and Section 24B’s deduction of Rs2 lakh on the interest repayment You can also claim home loan tax deduction for registration fees and stamp duty charges under Section 80C In the Union Budget 2021 the government extended the additional deduction of Rs 15 lakh for interest repayment on home loan by 31 March 2022 under the Section 80EEA to purchase a house costing up to Rs 45 lakh This additional deduction is being provided over and above the existing 2 lakh deductionAs per RBI guidelines no lender is permitted to offer 100% home financing You need to make a down payment amounting to 10-20% of the property’s purchase price Typically you can obtain up to 80% housing loan financing for your propertyAny Indian national with a strong financial profile can avail of a home loan from Bajaj Finserv The home loan eligibility terms include *The upper age limit is considered as the age at the time of maturity of the loanBajaj Finserv requires you to have a minimum net monthly income of Rs25000 to Rs30000 in order to get a housing loan In places such as Delhi Gurugram Mumbai and Thane your monthly salary should be at least Rs30000 In cities such as Bangalore Chennai Hyderabad and Goa you must earn at least Rs25000 per monthSalaried individuals with minimum 3 years of work experience can avail of a home loan of up to Rs 35 crore and self-employed individuals having a business continuity of 5 years can avail funding up to Rs5 crore Please note that these figures are only indicative the actual amounts sanctioned vary on a case to case basis Use the Housing Loan Eligibility Calculator to know the maximum loan amount based upon your income tenor and current obligationsThe documents required for a Home Loan from Bajaj Finserv includeBoth types of home loans have their pros and cons With a fixed-rate home loan the interest rate remains constant through the tenor which allows you to forecast EMIs Pick it when home loan interest rates are low For floating rate home loans the interest rate alters basis economic changes and RBI policy decisions Choose this variant when you expect rates to reduce in the time to come Additionally the RBI mandates that you do not need to pay any prepayment or foreclosure charges if you’re an individual borrowing a floating rate home loanOn the basis of the different requirements for housing loans and varied customer profiles the types of home loans available in India areAvailing of a home loan requires an individual to meet the eligibility criteria that ensure a borrower’s capacity to repay The factors that affect eligibility areYes you can switch from a floating rate of interest to a fixed rate during the repayment tenor of your housing loan You need to pay a nominal amount as a conversion fee to your lender for switchingSwitching from a floating to fixed rate is best-suited when the market rates are expected to climb upOpting for a home loan is a smart financial decision for the following reasonsNo availing of two housing loans at a time for the same property is restricted as per the CERSAI However individuals can opt for a home loan balance transfer to refinance their existing housing credit at lower rates of interest The facility comes with the top-up loan facility an additional loan over and above the existing loan amount Avail of the funds to meet diverse financial necessities with easeProceed with the following steps to avail of a home loan with ease Ensure to meet all eligibility before applyingThe repayment period for loans begins immediately after the lender has disbursed the entire home loan amount However in cases of partial disbursal the interest accrued on such a disbursed amount is required to be paid as pre-EMI Full EMI payment including the principal and interest amount starts after full disbursal of the loanNo it is not mandatory that you take home loan insurance along with your loan However you may consider getting an insurance to take care of any liability at a marginal increase in your EMIsYou start paying your home loan EMI when the disbursement cheque is created Once you receive the loan amount you begin paying EMIs as per the EMI cycle This means if your chosen date for EMI repayment is the 5th of a month and you receive the loan on the 28th of the month then for the first month you pay the EMI calculated from the day your home loan was sanctioned to your first EMI date Next month onwards you pay regular EMIs on the designated dayTo avail of a Bajaj Finserv Home Loan apply online send us an SMS or visit our branchOnline Process SMS MethodSend HLCI to 9773633633A Bajaj Finserv representative will contact you with your pre-approved offer You can also obtain a Home Loan by visiting your nearest Bajaj Finserv branch Lower your Home Loan EMIs and also avail a top-up loan of upto Rs 50 Lakh with a Home Loan Balance TransferApply for a Home loan starting at ROI 675%*Use our Home Loan Eligibility calculator to estimate how much can you comfortably spend on your new homeEstimate how much will you have to pay each month for your new home by using our Home Loan EMI calculator Congratulations! You have a home loan balance transfer offer Call Me BackEnter personal detailsPlease enter your Full NamePlease enter your mobile numberPlease enter Pincode Select Type of Loan Please accept the terms and conditionsPlease enter Otp
20,Pradhan Mantri Awas Yojana,/home-loan-pradhan-mantri-awas-yojana, I authorize Bajaj Finserv representative to call /SMS towards this application and other products/services This consent overrides my registration for DNC/NDNCT&C Enter one-time passwordYou have a Loan Balance Transfer of \xa0 Beneficiaries can apply for PMAY through the followingA OnlineIndividuals can visit the official website of the scheme to apply online They need to have a valid Aadhaar Card to applyB OfflineBeneficiaries can apply for the scheme offline by filling up a form available through Common Service Centre (CSC) Price of these forms is Rs 25  GSTThose eligible for the scheme can check their name in the Pradhan Mantri Awas Yojana list by following these few stepsStep 1Visit the official website Step 2Click “Search Beneficiary” Step 3Enter the Aadhaar number Step 4Click “Show”Existing home loan borrowers are eligible for this scheme provided they fulfil all the relevant eligibility criteriaPradhan Mantri Yojana has played a significant role in providing affordable housing The role of this scheme is not limited to making housing accessible and affordable to all irrespective of their financial stability but it has also created ample job opportunities in the real estate sector This scheme along with the inclusion of RERA led to the creation of about 607 Crore jobs across the nationEstimate how much will you have to pay each month for your new home by using our Home Loan EMI calculator Use our Home Loan Eligibility calculator to estimate how much can you comfortably spend on your new homeApply for a Home loan starting at ROI 675%*Lower your Home Loan EMIs and also avail a top-up loan of upto Rs 50 Lakh with a Home Loan Balance TransferCongratulations! You have a home loan balance transfer offer Call Me BackEnter personal detailsPlease enter your Full NamePlease enter your mobile numberPlease enter Pincode Please accept the terms and conditionsPlease enter Otp
21,Home Loan Balance Transfer,/home-loan-balance-transfer, I authorize Bajaj Finserv representative to call /SMS towards this application and other products/services This consent overrides my registration for DNC/NDNCT&C Enter one-time passwordYou have a Loan Balance Transfer of Transfer the balance of your existing home loan to Bajaj Finserv and get an additional top-up loan of a sizable amount Apart from the top-up loan that comes free of any end-use restrictions you also gain the benefits of a competitive interest rate and the option to extend your repayment tenor Use our Home Loan Balance Transfer Calculator to compute your savings and top-up loan eligibilityMany borrowers opt to transfer their loan to a new lender to avail of a lower interest rate This is one of the key benefits as a lower interest rate translates to reduced EMIs and a lower interest payable on the loan To know all about the other benefits of a home loan balance transfer read on• Allows you to negotiate for loan restructuringWhen you opt for a home loan balance transfer you can negotiate with your new lender for more suitable repayment terms You can also change your repayment to better match your repayment capabilities and goals• Balance transfer and top-up loanYou can avail of a top-up when you transfer your loan The amount is free of end-use restrictions and you can use it to meet any expense right from a renovation project to an exotic vacation \xa0 Avail of a top-up loan up to Rs50 lakh with a Home Loan Balance TransferApply Now Fill in your personal details Fill in your financial details Fill in your employment details Fill in your existing property details View your loan offer Submit your property details Pay the secure fee online Upload your documentsThe primary benefit of a home loan balance transfer is a lower rate of interest The facility thus reduces your monthly instalmentsAlso you get to avail a high-value top-up loan up to Rs 50 LakhYes it is beneficial Refinancing your home loan helps you avail of a lower rate of interest enabling you to save on the total interest outgoNo Refinancing your home loan will not lower your credit scoreIt usually takes around 5 to 10 days to switch lenders You can apply for a Home Loan Balance Transfer from Bajaj Finserv’s official website Provide your personal details financial data employment details and existing property information to view your loan offerNext you have to submit your property details pay the secure fee and upload the relevant documents to apply for the transferThere is no maximum amount that you can transfer Your entire home loan outstanding balance gets transferred to the new lenderYes When you transfer your home loan to Bajaj Finserv you have the option to avail of a high-value top-up amount to meet other financial needsYes Bajaj Finserv offers applicants the option to extend their repayment tenor Please note that the maximum age at the time of loan maturity cannot exceed 62 years in the case of salaried individuals and 70 years in the case of self-employed individualsNo you do not require a guarantor to go ahead with a home loan balance transferYes You can transfer your home loan to another person if you are selling your property to that same individualEstimate how much will you have to pay each month for your new home by using our Home Loan EMI calculator Use our Home Loan Eligibility calculator to estimate how much can you comfortably spend on your new homeApply for a Home loan starting at ROI 675%*Lower your Home Loan EMIs and also avail a top-up loan of upto Rs 50 Lakh with a Home Loan Balance Transfer 
